Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h)
1/7/2019,2.5,18.1,0,W,15,0:33,6.1,77,WNW,2,17.6,27,NNE,4
2/7/2019,3.2,22.4,0,NNW,31,14:16,7.7,68,NW,6,20,35,NNW,19
3/7/2019,6.3,17.4,0,S,24,13:52,12.4,53,SSW,4,14.6,84,S,15
4/7/2019,11.7,15.8,1.8,SE,30,13:21,13.7,81,SSW,15,14.4,88,SSE,15
5/7/2019,11.6,18.1,1.2,ESE,41,14:33,13.6,84,S,4,16.5,72,ESE,24
6/7/2019,11.2,17.8,0.8,E,30,13:03,13.8,86,S,7,16.9,67,ESE,15
7/7/2019,6.9,19.2,0.2,E,26,12:41,9.8,98,SSW,4,18.5,56,ESE,11
8/7/2019,9.5,17.2,0.4,NW,39,14:05,11.4,97,W,4,16,74,NNW,24
9/7/2019,6.8,18.2,0.4,NW,33,12:59,8.8,99,W,6,17.6,47,NW,17
10/7/2019,3.3,16.9,0,NNW,44,13:14,7.6,81,W,7,16.4,38,NW,26
11/7/2019,7.6,20.2,0,NW,52,16:55,14.3,55,NW,33,19.6,30,NW,24
12/7/2019,9.4,19.8,0,NW,59,16:05,12.5,58,WNW,17,19.1,39,WNW,26
13/7/2019,11.4,16.2,0,W,61,12:57,11.5,69,WSW,22,14.8,27,W,31
14/7/2019,,,0,NW,54,14:50,8.2,58,WNW,13,,,NW,35
15/7/2019,,,0,NW,52,4:01,,,NW,19,17.1,26,W,17
16/7/2019,,20.1,0,NW,41,15:04,9.4,64,NW,15,19.3,35,NW,24
17/7/2019,,19.1,0,NW,37,16:11,,,NW,13,18.2,38,NNW,24
18/7/2019,6.8,18.6,0,NW,43,13:29,11.8,58,NW,22,18.3,39,NW,26
19/7/2019,2.4,19,0,NW,26,11:06,8.8,63,WNW,9,18.5,32,N,7
20/7/2019,2.3,20.6,0,N,20,15:01,7.2,69,W,6,19.7,26,N,11
21/7/2019,4,22.7,0,NW,50,13:05,11.2,49, ,Calm,22,31,NNW,20
22/7/2019,9.5,21.8,0,NNE,19,13:43,11.1,63,WSW,6,21.3,37,NNE,7
23/7/2019,8.6,22.9,0.6,NW,54,13:30,12.8,63,WNW,9,22.5,16,NW,30
24/7/2019,11.8,21.9,0,WNW,43,11:32,15.3,36,NW,20,21.7,30,NNW,17
25/7/2019,6.1,19.6,0,ESE,20,15:17,10.7,53,W,6,18.8,44,E,11
26/7/2019,5.3,20.3,0,NW,33,15:23,9.6,83,WSW,2,20,37,NW,20
27/7/2019,8.9,21.3,0,S,24,4:05,13.2,61,WNW,11,20.8,38,W,4
28/7/2019,7.8,20.5,0,ENE,17,11:52,12.4,77,W,6,19.7,34,N,6
29/7/2019,,21.7,0,N,20,14:44,9.2,67,W,9,20,33,NNW,11
30/7/2019,9.2,16.6,1.2,S,33,14:42,13.4,76,S,13,13.9,66,S,20
31/7/2019,10,17.4,0,SSW,30,7:46,11.9,72,SSW,11,15.7,61,SSE,19
1/8/2019,9.1,20.6,0,E,22,17:55,13.8,74,SW,6,19.2,44,ESE,9
2/8/2019,6.6,18.5,0,E,22,15:25,12.8,79,SSW,4,17.5,56,ESE,9
3/8/2019,5.5,22.9,0.2,NNW,30,13:08,10.2,79,NW,11,22.6,25,NNW,17
4/8/2019,6.2,20.1,0,ESE,26,17:52,9.5,69,W,4,20,30,NNE,7
5/8/2019,5.3,22,0,N,28,14:16,9.7,95,NW,2,21,22,NNW,17
6/8/2019,4.1,22.3,0,NNW,39,13:44,9.9,43,W,9,21.9,12,NNW,24
7/8/2019,3.8,23.7,0,WNW,48,14:03,11.5,33,WNW,9,23.3,15,WNW,20
8/8/2019,8,22.7,0,NW,59,12:42,14.9,42,W,9,22.2,20,W,28
